date,y_mag,pred_mag,spatial_error_km
2026-01-03,5.007236480712891,7.425300598144531,412.1109924316406
2026-01-07,5.193789005279541,8.215487480163574,5.020806312561035
2026-01-08,5.032421588897705,7.465963363647461,46.65572738647461
2026-01-10,6.408738136291504,7.473836898803711,217.2112579345703
2026-01-16,5.149003505706787,7.648984909057617,17.46638298034668
2026-01-18,5.132344722747803,7.389881134033203,39.9063720703125
2026-01-21,5.401424407958984,7.4238786697387695,12.4668607711792
2026-01-24,5.0249552726745605,7.614505767822266,319.1099548339844
2026-01-25,5.124896049499512,7.493283271789551,7.491952419281006
2026-01-26,5.094388961791992,7.473962783813477,10.635869026184082
2026-01-27,5.681507110595703,7.137895584106445,228.25650024414062
2026-01-28,5.052587032318115,7.092345237731934,0.6536848545074463
2026-02-03,5.373563289642334,7.675551414489746,6.682483673095703
2026-02-04,5.101837635040283,9.35389518737793,9.816712379455566
2026-02-05,5.849511623382568,7.877586364746094,315.3475646972656
2026-02-06,5.798130035400391,7.004739284515381,2.217693567276001
2026-02-13,5.633544445037842,7.450817108154297,293.853271484375
2026-02-14,5.390224933624268,7.22092866897583,403.9022521972656
2026-02-16,5.160953044891357,7.227631568908691,359.4001770019531
2026-02-19,5.568575859069824,7.237307071685791,57.14862823486328
2026-02-24,5.3627028465271,7.618913650512695,58.69544219970703
2026-02-28,5.712497711181641,7.865972995758057,335.3456115722656
2026-03-02,5.07785177230835,7.329136848449707,2.8250062465667725
2026-03-03,6.095551490783691,7.6639204025268555,451.1061706542969
2026-03-06,5.112719535827637,7.846579551696777,113.5267105102539
2026-03-07,5.173817157745361,7.403876304626465,378.7810363769531
2026-03-08,5.347361087799072,7.241425514221191,455.4762878417969
2026-03-12,5.176245212554932,7.4533820152282715,217.4536895751953
2026-03-16,5.347672939300537,7.6626081466674805,66.29493713378906
2026-03-21,5.177125453948975,7.569100379943848,468.40576171875
2026-03-26,6.003528594970703,7.311010360717773,40.26077651977539
2026-03-28,6.223067283630371,7.3970513343811035,11.011940002441406
2026-03-29,5.212764263153076,6.934942245483398,228.544189453125
2026-04-01,7.528018951416016,7.281377792358398,73.79288482666016
2026-04-02,6.20285701751709,7.2788801193237305,50.3157844543457
2026-04-03,5.637457370758057,7.30876350402832,51.82022476196289
2026-04-04,5.914151668548584,7.52070426940918,317.0774230957031
2026-04-17,5.117220878601074,8.736504554748535,33.61866760253906
2026-04-18,5.568626403808594,7.687689781188965,202.2611083984375
2026-04-20,5.107558727264404,7.279867172241211,48.72721481323242
2026-04-21,5.4376091957092285,7.634289264678955,20.342144012451172
2026-04-24,5.117332935333252,6.875765323638916,59.00978088378906
2026-04-25,5.141454219818115,7.328638076782227,24.072765350341797
